product_name,Supplier,total_stock,Max Daily Sales (Pikine),Product Category,Buffer Value,Optimal Stock (Reorder Point),Max Lead Time,Daily OOS Rate (30d),Max Coverage Day,Predicted Stockout,Stock Status,Predicted Order Quantity,Recalculated Average Daily Sales,Credit Days
1/2 carton biscuits chico miko chocolat gm 125g x12,MBD SUARL,12.0,8.0,CX,5.0,8.5,0.0,0.0,120.0,False,Stock OK,0.0,0.9,0
1/2 carton biscuits chico miko fraise gm 125g x12,MBD SUARL,3.0,2.0,CX,5.0,3.5,0.0,0.0,7.5,True,Predicted Stockout Soon,0.0,0.4,0
1/2 carton chocolat delia 1kg x3,SENICO,50.0,8.0,CX,5.0,17.5,16.0,0.0,23.80952380952381,False,Order Soon,0.0,2.7,0
1/2 carton chocolat delia 250g x6,SENICO,43.0,12.0,CX,5.0,25.5,16.0,0.0,11.025641025641026,False,Order Soon,27.39999999999999,4.3999999999999995,0
1/2 carton chocolat delia 500g x6,SENICO,98.0,14.0,CX,5.0,33.5,16.0,0.0,20.416666666666668,False,Order Soon,0.0,4.8,0
1/2 carton huile niani (arachide) 1l x6,Sonacos,5.0,7.0,CX,5.0,11.0,1.86,0.0,3.3333333333333335,True,Predicted Stockout Soon,0.0,2.1,0
1/2 carton lait concentré hollandia 120g x12,MAERKS,0.0,1.13,CX,5.0,1.15,1.86,0.0,-0.004972375690607734,True,Out of Stock,0.37200000000000005,0.2,0
1/2 carton lait concentré sucré cheri mama x12,MBD & Fils,0.0,14.0,CX,5.0,34.0,5.0,0.0,0.0,True,Out of Stock,26.999999999999996,5.3999999999999995,0
1/2 carton lait en poudre lalia gm 400g x5,COSEDI,0.0,8.0,CX,5.0,12.0,14.0,0.0,0.0,True,Out of Stock,33.6,2.4,0
1/2 carton lait en poudre lalia pm 20g x50,COSEDI,27.0,7.0,CX,5.0,16.5,14.0,0.0,10.384615384615385,False,Order Soon,17.800000000000004,3.2,0
