product_name,total_stock,Average Daily Sales,QAC edited
1/2 carton biscuits chico miko chocolat gm 125g x12,18,0.7,23
1/2 carton biscuits chico miko fraise gm 125g x12,7,0.3, 
1/2 carton chocolat delia 1kg x3,16,1.5, 
1/2 carton chocolat delia 250g x6,53,3.4, 
1/2 carton chocolat delia 500g x6,12,3.5, 
1/2 carton huile niani (arachide) 1l x6,0,0.1, 
1/2 carton lait concentré hollandia 120g x12,0,0.1, 
1/2 carton lait concentré sucré cheri mama x12,0,0.1, 
1/2 carton lait en poudre lalia gm 400g x5,426,2.7, 
1/2 carton lait en poudre lalia pm 20g x50,0,1.4, 
1/2 carton lait evaporé laicran pot 170g x12,0,0.1, 
1/2 carton mayonnaise chef aida 225ml x6,0,0.7, 
1/2 carton moutarde chef aida 450ml x3,0,0.1, 
1/2 carton pates amira macaroni lisse 250g x12,0,0.1, 
1/2 carton pates amira macaroni lisse 500g x10,0,0.1, 
1/2 carton pates amira macaroni lisse 500g x6,237,3.8, 
1/2 carton pates amira macaroni rayé 500g x6,24,4.7, 
1/2 carton pates amira spaghetti gm 500g x10,259,19.7, 
1/2 carton pates amira spaghetti pm 250g x20,401,41.3, 
1/2 carton pates amira torsades 500g x10,0,0.1, 
1/2 carton pates amira torsades 500g x6,0,0.1, 
1/2 demi carton adja epices 12g x360,482,17.6, 
1/2 demi carton adja epices 60g x60,-3,36.5, 
1/2 demi carton adja super 12g x360,259,7.8, 
1/2 demi carton adja super 60g x60,153,15, 
1/2 demi carton adja tomate 12g x360,187,7.3, 
1/2 demi carton adja tomate 60g x60,124,12.4, 
1/2 demi carton batterie duracell moyen aa x10,0,0.1, 
1/2 demi carton bicarbonate 90g x50,253,22.9, 
1/2 demi carton cafe teranga 100g x12,0,0.1, 
1/2 demi carton cafe teranga 200g x12,0,0.1, 
1/2 demi carton cafe teranga 50g x24,-1,10.1, 
1/2 demi carton fromage vache qui rit 24 portions x12,0,19.5, 
1/2 demi carton fromage vache qui rit 8 portions x36,147,18, 
1/2 demi carton joker epices 12g x240,137,4.7, 
1/2 demi carton joker epices 60g x60,81,6.9, 
1/2 demi carton joker super 12g x240,21,23.9, 
1/2 demi carton joker super 60g x60,39,25.5, 
1/2 demi carton joker tomate 12g x240,0,15.6, 
1/2 demi carton joker tomate 60g x60,34,5, 
1/2 demi carton jumbo arome cube x12x24,198,3.9, 
1/2 demi carton jumbo cube x12x24,216,4.3, 
1/2 demi carton kadi epices 10g x360,0,0.1, 
1/2 demi carton kadi epices 12g x360,38,2.4, 
1/2 demi carton kadi epices 60g x60,316,25.5, 
1/2 demi carton lait bridel gm 50cl x12,132,37.8, 
1/2 demi carton lait bridel pm 25cl x12,127,19.3, 
1/2 demi carton lait concentre gloria pot gm 370g x24,43,7, 
1/2 demi carton lait concentré sucré nour1kg x12,0,3.9, 
1/2 demi carton lait en poudre halib gm 400g x5,60,7.4, 
1/2 demi carton lait en poudre laclait gm 400g x5,28,5.1, 
1/2 demi carton lait en poudre nour animal gm 350g x5,53,0.3, 
1/2 demi carton lait en poudre nour végétal gm 400g x5,38,0.8, 
1/2 demi carton maggi arome liquide gm 250ml x12,0,0.1, 
1/2 demi carton maggi arome liquide pm 138ml x14,14,4.5, 
1/2 demi carton mameum epices maggi sticks 15g,144,18.1, 
1/2 demi carton mouchoir lotus 100f x20,178,15.1, 
1/2 demi carton mouchoir smiley 100f x15x5,268,9.3, 
1/2 demi carton moutarde extra forte 25g x12x20,0,4.4, 
1/2 demi carton nescafé pot 100g x12,116,6.2, 
1/2 demi carton nescafé pot 200g x6,64,3, 
1/2 demi carton nescafé pot 50g x24,130,5.9, 
1/2 demi carton oro insecticide gm pompe double action 750ml x12,37,4.7, 
1/2 demi carton oro insecticide pm pompe double action 300ml x12,60,15.1, 
1/2 demi carton papier mouchoir de poche lucart x12,0,0.1, 
1/2 demi carton pates amira vermicelles gm 500g x6,17,1.1, 
1/2 demi carton pates amira vermicelles pm 250g x12,39,2, 
1/2 demi carton sardines 125g x25,34,21.7, 
1/2 demi carton sel raffine selbe 250g x50,0,10.9, 
1/2 demi carton sticks reine 15g x150,0,0.1, 
